
Zack and Miri Make a Porno,The Weinstein Company,Romance,2008,Kevin Smith,Seth Rogan
When in Rome,Disney,Comedy,2010,Mark Steven Johnson,Kristen Bell
What Happens in Vegas,Fox,Comedy,2008,Tom Vaughn,Cameron Diaz
Water For Elephants,20th Century Fox,Drama,2011,Franxis Lawrence,Robert Pattinson
WALL-E,Disney,Animation,2008,Andrew Stanton,Elissa Knight
Waitress,Independent,Romance,2007,Adrienne Shelly,Keri Russell
Waiting For Forever,Independent,Romance,2011,James Keach,Rachel Bilson
Valentine's Day,Warner Bros.,Comedy,2010,Garry Marshall,Jennifer Garner
Tyler Perry's Why Did I get Married,Independent,Romance,2007,Tyler Perry,Tyler Perry
Twilight: Breaking Dawn,Independent,Romance,2011,Bill Condon,Kristen Stewart
Twilight,Summit,Romance,2008,Catherin Hardwicke,Kristen Stewart
The Ugly Truth,Independent,Comedy,2009,Robert Luketic,Katherine Heigl
The Twilight Saga: New Moon,Summit,Drama,2009,Chris Weitz,Kristen Stewart
The Time Traveler's Wife,Paramount,Drama,2009,Robert Schwentke,Rachel Mcadams
The Proposal,Disney,Comedy,2009,Anne Fletcher ,Ryan Reynolds
The Invention of Lying,Warner Bros.,Comedy,2009,Ricky Gervais,Ricky Gervais
The Heartbreak Kid,Paramount,Comedy,2007,Peter Farrelly,Ben Stiller
The Duchess,Paramount,Drama,2008,Saul Dibb,Keira Knightley
The Curious Case of Benjamin Button,Warner Bros.,Fantasy,2008,David Flincher,Brad Pitt
The Back-up Plan,CBS,Comedy,2010,Alan Poul,Jennifer Lopez
Tangled,Disney,Animation,2010,Bryan Howard,Mandy Moore
Something Borrowed,Independent,Romance,2011,Luke Greenfield,Ginnifer Goodwin
She's Out of My League,Paramount,Comedy,2010,Jim Field Smith,Jay Baruchel
Sex and the City Two,Warner Bros.,Comedy,2010,Michael Patrick King,Sarah Jessica Parker
Sex and the City 2,Warner Bros.,Comedy,2010,Michael Patrick King,Sarah Jessica Parker
Sex and the City,Warner Bros.,Comedy,2008,Michael Patrick King,Sarah Jessica Parker
Remember Me,Summit,Drama,2010,Allen Coulter,Robert Pattinson
Rachel Getting Married,Independent,Drama,2008,Jonathan Demme,Anne Hathaway
Penelope,Summit,Comedy,2008,Mark Palansky,Christina
P.S. I Love You,Independent,Romance,2007,Rachel Lagravenese,Gerard Butler
Over Her Dead Body,New Line,Comedy,2008,Jeff Lowell,Eva Longoria
Our Family Wedding,Independent,Comedy,2010,Rick Famuyiwa,America Ferrera
One Day,Independent,Romance,2011,David Nicholls,Ane Hathaway
Not Easily Broken,Independent,Drama,2009,Bill Duke,Morris Chestnut
No Reservations,Warner Bros.,Comedy,2007,Scott Hicks,Aaron Eckhart
Nick and Norah's Infinite Playlist,Sony,Comedy,2008,Peter Sollett,Kat Dennings
New Year's Eve,Warner Bros.,Romance,2011,Garry Marshall,Zac Efron
My Week with Marilyn,The Weinstein Company,Drama,2011,Simon Curtis,Michelle Williams
Music and Lyrics,Warner Bros.,Romance,2007,Marc Lawrence,Hugh Grant
Monte Carlo,20th Century Fox,Romance,2011,Thomas Bezucha,Selena Gomez
Miss Pettigrew Lives for a Day,Independent,Comedy,2008,Bharat Nalluri,Amy Adams
Midnight in Paris,Sony,Romence,2011,Woody Allen,Owen Wilson
Marley and Me,Fox,Comedy,2008,David Frankel,Owen Wilson
Mamma Mia!,Universal,Comedy,2008,Phyllida Lloyd,Amanda Seyfried
Mamma Mia!,Universal,Comedy,2008,Phyllida Lloyd,Amanda Seyfried
Made of Honor,Sony,Comdy,2008,Paul Weiland,Patrick Dempsey
Love Happens,Universal,Drama,2009,Brandon Camp,Aaron Eckhart
Love&Other Drugs,Fox,Comedy,2010,Edward Zwick,Anne Hathaway
Life as We Know It,Independent,Comedy,2010,Greg Berlanti,Katherine Heigl
License to Wed,Warner Bros.,Comedy,2007,Ken Kwapis,Robin Williams
Letters to Juliet,Summit,Comedy,2010,Gary Winick,Amanda Seyfried
Leap Year,Universal,Comedy,2010,Anand Tucker,Amy Adams
Knocked Up,Universal,Comedy,2007,Judd Apatow,Seth Rogan
Killers,Lionsgate,Action,2010,Robert Luketic,Katherine Heigl
Just Wright,Fox,Comedy,2010,Sanaa Hamri,Common
Jane Eyre,Universal,Romance,2011,Cary Joji Fukunaga,Mia Wasikowska
It's Complicated,Universal,Comedy,2009,Nancy Meyers,Meryl Streep
I Love You Phillip Morris,Independent,Comedy,2010,?John Requa,Jim Carrey
High School Musical 3: Senior Year,Disney,Comedy,2008,Kenny Ortega,Zac Efron
He's Just Not That Into You,Warner Bros.,Comedy,2009,Ken Kwapis,Scarlett Johansson
Good Luck Chuck,Lionsgate,Comedy,2007,Mark Helfrich,Jessica Alba
Going the Distance,Warner Bros.,Comedy,2010,Nanette Burstein,Justin Long
Gnomeo and Juliet,Disney,Animation,2011,John Stevenson,Emily Blunt
Gnomeo and Juliet,Disney,Animation,2011,John Stevenson,Emily Blunt
Ghosts of Girlfriends Past,Warner Bros.,Comedy,2009,Mark Waters,Matthew McConaughey
Four Christmases,Warner Bros.,Comedy,2008,Seth Gordon,Reese Witherspoon
Fireproof,Independent,Drama,2008,Alex Kendrick,Kirk Cameron
Enchanted,Disney,Comedy,2007,Kevin Lima,Amy Adams
Dear John,Sony,Drama,2010,Lasse Hallstr?m,Channing Tatum
Beginners,Independent,Comedy,2011,Mike Mills,Ewan Mcgregor
Across the Universe,Independent,romance,2007,Julie Taymor,Evan Rachel Wood
A Serious Man,Universal,Drama,2009,?Ethan Coen,Michael Stuhlbarg
A Dangerous Method,Independent,Drama,2011,David Cronenberg,Keira Knightley
27 Dresses,Fox,Comedy,2008,Anne Fletcher,Katherine Heigl
(500) Days of Summer,Fox,comedy,2009,Marc Webb,Zooey Deschanel
title,pco,genre,year,dir,actor
10,8,9,7,6,5
2,6,4,8,10,12
T,P,G,Y,D,A
k,k,lk,2008,k,khoa
